FLIGHT_IDENTIFIER,ARRIVAL_EPOCH,ARRIVAL_DELAY
N486WNBOSBWI23668500,23668579.0,-26.0
N8641BPVDBWI23668500,23668587.0,-13.0
N910WNPITFLL23668500,23668644.0,-26.0
N706SWCAKATL23668555,23668645.0,-30.0
N799SWMCOATL23668555,23668646.0,-4.0
N691WNCAKBOS23668570,23668653.0,-27.0
N653SWSATSTL23668565,23668663.0,-22.0
N275WNSJUTPA23668470,23668663.0,3.0
N967WNINDBWI23668600,23668671.0,-34.0
N221WNCAKMCO23668540,23668674.0,-16.0
N8315CBWIMCO23668550,23668676.0,-34.0
N7728DHOUATL23668575,23668678.0,-7.0
N912WNLITDAL23668605,23668678.0,-2.0
N927WNMSYATL23668610,23668679.0,-16.0
N422WNCMHFLL23668520,23668681.0,-9.0
N7813PCLTBWI23668605,23668685.0,-20.0
N359SWJAXATL23668630,23668687.0,-13.0
N905WNTPABWI23668565,23668687.0,-18.0
N628SWPITMCO23668560,23668688.0,-22.0
N920WNFLLATL23668585,23668689.0,-11.0
N940WNDCABNA23668575,23668689.0,-6.0
N345SAPVDBWI23668620,23668690.0,-20.0
N283WNMSPMDW23668620,23668692.0,-23.0
N441WNISPBWI23668630,23668695.0,-15.0
N922WNSJUFLL23668530,23668697.0,-3.0
N346SWCMHTPA23668565,23668700.0,-10.0
N955WNMCOBNA23668595,23668701.0,-14.0
N268WNPHLFLL23668555,23668701.0,-24.0
N615SWBWIBOS23668625,23668701.0,-9.0
N449WNBOSBWI23668625,23668701.0,-19.0
N210WNRICMCO23668585,23668702.0,-8.0
N8634AATLMDW23668595,23668702.0,-18.0
N789SWPVDMCO23668520,23668706.0,-4.0
N245WNTPAATL23668600,23668707.0,17.0
N243WNPHLATL23668585,23668708.0,-12.0
N625SWBWIFLL23668565,23668708.0,-12.0
N630WNPHXSLC23668620,23668709.0,-6.0
N931WNPBIATL23668605,23668711.0,-4.0
N340LVFLLBWI23668565,23668711.0,-9.0
N968WNAUSATL23668600,23668711.0,-19.0
N780SWALBMCO23668545,23668711.0,-29.0
N271LVRSWATL23668620,23668714.0,-11.0
N475WNTULDAL23668660,23668717.0,-13.0
N364SWDALTUL23668670,23668719.0,-11.0
N8612KDALMDW23668605,23668719.0,-26.0
N222WNATLDAL23668585,23668719.0,-6.0
N7745ASATATL23668595,23668720.0,-10.0
N962WNSATBNA23668620,23668724.0,-16.0
N747SASTLMDW23668665,23668724.0,-16.0
N8654BCMHRSW23668570,23668727.0,-3.0
N409WNATLPHL23668630,23668729.0,-26.0
N400WNMHTMCO23668545,23668732.0,-18.0
N642WNOKCATL23668605,23668732.0,2.0
N443WNPVDFLL23668555,23668735.0,-20.0
N483WNMCOMDW23668575,23668739.0,-16.0
N401WNPITRSW23668585,23668739.0,-16.0
N959WNCAKDCA23668685,23668740.0,-25.0
N772SWBNASTL23668675,23668741.0,-4.0
N466WNCMHATL23668515,23668741.0,116.0
N8626BISPPBI23668575,23668742.0,-18.0
N939WNISPFLL23668560,23668743.0,-2.0
N704SWBWICHS23668650,23668743.0,-12.0
N420WNEWRMDW23668595,23668743.0,-7.0
N237WNHOUMCO23668620,23668744.0,-6.0
N217JCBDLFLL23668565,23668746.0,-14.0
N621SWHOUPHX23668575,23668746.0,-4.0
N7722BFLLTPA23668695,23668748.0,-7.0
N259WNROCMDW23668625,23668749.0,-6.0
N7734HHOUHRL23668680,23668749.0,4.0
N900WNMKEATL23668640,23668749.0,-6.0
N932WNBWICLT23668650,23668749.0,4.0
N447WNRDUBWI23668690,23668749.0,-6.0
N611SWATLFLL23668640,23668750.0,0.0
N291WNSATELP23668625,23668750.0,30.0
N8607MMCOSTL23668600,23668750.0,-10.0
N493WNBWIMCO23668615,23668750.0,-10.0
N423WNBUFFLL23668560,23668752.0,-3.0
N8319FISPMCO23668595,23668754.0,-26.0
N292WNPBIBWI23668615,23668754.0,-6.0
N495WNPITBNA23668665,23668754.0,-31.0
N716SWALBFLL23668580,23668755.0,-25.0
N494WNTPADCA23668635,23668757.0,-8.0
N933WNMCOATL23668685,23668757.0,-23.0
N8618NATLHOU23668625,23668757.0,-3.0
N8645AALBBWI23668690,23668759.0,-26.0
N938WNTPAHOU23668625,23668759.0,-26.0
N638SWDTWSTL23668670,23668759.0,-21.0
N903WNTPABWI23668635,23668760.0,-15.0
N242WNMEMMDW23668680,23668760.0,-25.0
N206WNMCODAL23668600,23668760.0,-10.0
N273WNBWITPA23668615,23668761.0,-4.0
N781WNINDDCA23668685,23668762.0,-23.0
N743SWHOUMDW23668635,23668762.0,-23.0
N249WNABQHOU23668620,23668762.0,22.0
N8302FMDWMCO23668625,23668764.0,-26.0
N521SWAUSDAL23668700,23668764.0,4.0
N783SWSATBWI23668605,23668765.0,-25.0
N253WNDALBWI23668625,23668765.0,-30.0
N392SWDALSTL23668685,23668765.0,-15.0
N7735AMDWDAL23668620,23668766.0,-4.0
N562WNATLMDW23668645,23668766.0,1.0
N438WNSTLBNA23668720,23668766.0,-14.0
N651SWGRRSTL23668685,23668767.0,-13.0
N762SWHOUATL23668670,23668767.0,-13.0
N657SWBWIHOU23668560,23668769.0,-11.0
N258WNMCIDAL23668685,23668770.0,-10.0
N952WNMCIMSY23668655,23668770.0,0.0
N8641BBWIJAX23668655,23668771.0,-14.0
N8642ECMHSTL23668685,23668771.0,-9.0
N357SWDTWATL23668665,23668771.0,-19.0
N497WNMDWTPA23668620,23668771.0,-14.0
N227WNCHSMDW23668640,23668774.0,-6.0
N520SWHOUSAT23668725,23668774.0,-6.0
N936WNFLLHOU23668615,23668774.0,-11.0
N7727AGSPHOU23668615,23668777.0,2.0
N610WNPVDTPA23668580,23668777.0,-3.0
N7732AMCOIND23668645,23668778.0,-12.0
N487WNDSMMDW23668715,23668778.0,-22.0
N754SWTULMDW23668695,23668778.0,-27.0
N670SWDALHOU23668710,23668780.0,5.0
N792SWDCADAL23668560,23668782.0,12.0
N7815LDALATL23668665,23668782.0,-8.0
N634SWMCOPVD23668635,23668783.0,-7.0
N427WNABQDAL23668675,23668783.0,3.0
N7712GATLRSW23668690,23668783.0,-12.0
N551WNATLLGA23668665,23668784.0,-11.0
N930WNFLLBNA23668650,23668784.0,-11.0
N263WNECPBNA23668715,23668785.0,-10.0
N554WNTUSDEN23668685,23668786.0,-9.0
N691WNBOSBWI23668710,23668787.0,-28.0
N488WNMCIMCO23668640,23668788.0,-12.0
N437WNTPABNA23668685,23668788.0,-7.0
N720WNAUSBWI23668630,23668790.0,-25.0
N913WNFLLATL23668680,23668790.0,-5.0
N470WNPVDMCO23668620,23668790.0,-15.0
N207WNMCIBWI23668655,23668791.0,-14.0
N733SAJAXBNA23668700,23668792.0,-3.0
N652SWHOUDAL23668740,23668793.0,-7.0
N758SWBWIRSW23668645,23668794.0,-21.0
N417WNALBBWI23668735,23668796.0,-24.0
N8632ADALLGA23668630,23668796.0,-29.0
N433LVBWISTL23668630,23668798.0,28.0
N441WNBWIISP23668750,23668799.0,-16.0
N7708EBDLRSW23668600,23668799.0,-6.0
N7752BGRRDEN23668625,23668799.0,-16.0
N231WNMCOBWI23668680,23668799.0,-11.0
N239WNSTLMCO23668670,23668799.0,-16.0
N225WNBWIPBI23668650,23668799.0,-6.0
N940WNBNACHS23668730,23668799.0,-11.0
N8327AMCOSJU23668650,23668800.0,-15.0
N738CBLASSNA23668750,23668800.0,-15.0
N8616CSJCLAS23668720,23668800.0,-5.0
N7814BDENATL23668645,23668801.0,-19.0
N362SWOMADEN23668715,23668801.0,-19.0
N486WNBWIMEM23668645,23668801.0,-4.0
N241WNSTLDAL23668710,23668802.0,-18.0
N508SWELPAUS23668715,23668802.0,-3.0
N200WNBWIPIT23668750,23668803.0,-7.0
N7744ABDLMCO23668630,23668803.0,-12.0
N8629AMSYHOU23668730,23668803.0,-2.0
N684WNDALDEN23668690,23668803.0,-17.0
N7813PBWIROC23668750,23668804.0,-21.0
N481WNPHXDAL23668670,23668804.0,4.0
N785SWCLTMDW23668670,23668804.0,4.0
N8624JMDWDCA23668720,23668805.0,-20.0
N222WNDALOKC23668760,23668805.0,-5.0
N298WNMDWBHM23668715,23668807.0,-13.0
N434WNMSYDCA23668680,23668808.0,-12.0
N283WNMDWDTW23668750,23668810.0,-5.0
N7733BTPAMSY23668720,23668810.0,-10.0
N276WNSMFPHX23668700,23668810.0,-10.0
N426WNDALFLL23668665,23668811.0,-9.0
N378SWCMHMDW23668745,23668811.0,-14.0
N8609ADALDCA23668680,23668813.0,-32.0
N250WNATLTPA23668730,23668814.0,-6.0
N658SWMSYMCO23668730,23668815.0,-10.0
N927WNATLIND23668725,23668816.0,-4.0
N467WNGEGDEN23668685,23668816.0,-9.0
N384SWINDMCO23668685,23668817.0,-8.0
N919WNMCOSTL23668675,23668817.0,-8.0
N908WNHOUPHX23668655,23668818.0,-12.0
N955WNBNABWI23668740,23668818.0,-22.0
N269WNDALMCO23668690,23668819.0,-16.0
N626SWBDLBWI23668755,23668820.0,-15.0
N440LVSLCPHX23668715,23668820.0,0.0
N774SWPITMDW23668735,23668820.0,-25.0
N8613KSLCDEN23668725,23668820.0,-5.0
N630WNSLCLAS23668755,23668820.0,-20.0
N419WNLASBUR23668770,23668821.0,-14.0
N7751AMDWDEN23668665,23668822.0,-8.0
N233LVAMADAL23668755,23668823.0,3.0
N742SWSFODEN23668675,23668823.0,-2.0
N294WNORFMDW23668675,23668824.0,4.0
N7734HHRLHOU23668775,23668825.0,-5.0
N749SWLGADAL23668580,23668825.0,0.0
N614SWONTDEN23668685,23668825.0,0.0
N345SABWIPWM23668750,23668826.0,-9.0
N212WNDALPHX23668665,23668826.0,1.0
N624SWSANSJC23668755,23668827.0,-8.0
N8308KMDWMCI23668740,23668829.0,-6.0
N480WNBHMBWI23668730,23668830.0,-15.0
N340LVBWIMHT23668755,23668830.0,-5.0
N7728DATLMDW23668715,23668831.0,-4.0
N203WNDALLAS23668665,23668832.0,-13.0
N934WNMKELAS23668600,23668833.0,-12.0
N7718BMCOBNA23668725,23668835.0,-5.0
N750SAABQPHX23668740,23668835.0,20.0
N8649AMDWPHX23668585,23668836.0,11.0
N747SAMDWBNA23668775,23668837.0,-18.0
N735SASTLLAS23668635,23668837.0,-23.0
N383SWDALELP23668730,23668837.0,2.0
N472WNMSYTPA23668765,23668838.0,-12.0
N717SAPHXMDW23668660,23668839.0,-16.0
N295WNCMHLAS23668575,23668839.0,-16.0
N8603FBWIBOS23668760,23668840.0,0.0
N395SWMEMTPA23668750,23668841.0,-14.0
N449WNBWIDTW23668755,23668842.0,-8.0
N617SWBWIDAY23668755,23668842.0,-8.0
N912WNDALTPA23668710,23668843.0,-2.0
N245WNATLFLL23668730,23668844.0,-6.0
N272WNBHMTPA23668770,23668846.0,-9.0
N355SWMCISTL23668805,23668846.0,-14.0
N641SWSJCLAS23668775,23668846.0,-9.0
N8305ECLEPHX23668560,23668847.0,7.0
N646SWHOUDAL23668800,23668847.0,-13.0
N457WNMDWLGA23668735,23668848.0,-7.0
N782SASTLBWI23668755,23668848.0,-27.0
N396SWINDRSW23668710,23668848.0,-17.0
N944WNATLDAL23668710,23668849.0,-6.0
N8637AMCILAS23668675,23668851.0,-14.0
N492WNDTWMDW23668790,23668853.0,-7.0
N764SWBWITPA23668700,23668853.0,-2.0
N751SWFLLBWI23668700,23668853.0,-2.0
N907WNLASPHX23668800,23668853.0,-12.0
N902WNFLLLAS23668540,23668855.0,-15.0
N407WNDENCAK23668705,23668855.0,-15.0
N201LVTPAATL23668770,23668855.0,0.0
N707SABWIBHM23668730,23668856.0,-14.0
N746SWBWIFLL23668705,23668856.0,-9.0
N967WNBWIATL23668755,23668856.0,-19.0
N8310CDCAMKE23668730,23668856.0,-4.0
N660SWSTLBOS23668730,23668856.0,-24.0
N8303RPHXBWI23668630,23668856.0,-24.0
N296WNBOSBWI23668775,23668857.0,-18.0
N917WNSFOLAS23668760,23668857.0,7.0
N786SWPHXHOU23668720,23668857.0,-8.0
N8322XMHTMDW23668700,23668857.0,-18.0
N236WNMSYDEN23668685,23668857.0,-3.0
N777QCLGACAK23668770,23668858.0,-22.0
N281WNDCATPA23668670,23668858.0,38.0
N8306HDALBNA23668775,23668859.0,-16.0
N527SWBWIDAL23668655,23668859.0,-6.0
N291WNELPDAL23668750,23668859.0,19.0
N275WNTPASTL23668720,23668860.0,-5.0
N8329BBDLDEN23668585,23668861.0,-4.0
